Device Type: Keyboard
 path: /Keyboard1/printScreen , name: printScreen , variants:  , displayName: Print Screen shortDisplayName: 
 path: /Keyboard1/scrollLock , name: scrollLock , variants:  , displayName: Scroll Lock shortDisplayName: 
 path: /Keyboard1/pause , name: pause , variants:  , displayName: Pause/Break shortDisplayName: 
 path: /Keyboard1/numpadEnter , name: numpadEnter , variants:  , displayName: Numpad Enter shortDisplayName: 
 path: /Keyboard1/numpadDivide , name: numpadDivide , variants:  , displayName: Numpad / shortDisplayName: 
 path: /Keyboard1/numpadMultiply , name: numpadMultiply , variants:  , displayName: Numpad * shortDisplayName: 
 path: /Keyboard1/numpadPlus , name: numpadPlus , variants:  , displayName: Numpad + shortDisplayName: 
 path: /Keyboard1/numpadMinus , name: numpadMinus , variants:  , displayName: Numpad - shortDisplayName: 
 path: /Keyboard1/numpadPeriod , name: numpadPeriod , variants:  , displayName: Numpad . shortDisplayName: 
 path: /Keyboard1/numpadEquals , name: numpadEquals , variants:  , displayName: Numpad = shortDisplayName: 
 path: /Keyboard1/numpad1 , name: numpad1 , variants:  , displayName: Numpad 1 shortDisplayName: 
 path: /Keyboard1/numpad2 , name: numpad2 , variants:  , displayName: Numpad 2 shortDisplayName: 
 path: /Keyboard1/numpad3 , name: numpad3 , variants:  , displayName: Numpad 3 shortDisplayName: 
 path: /Keyboard1/numpad4 , name: numpad4 , variants:  , displayName: Numpad 4 shortDisplayName: 
 path: /Keyboard1/numpad5 , name: numpad5 , variants:  , displayName: Numpad 5 shortDisplayName: 
 path: /Keyboard1/numpad6 , name: numpad6 , variants:  , displayName: Numpad 6 shortDisplayName: 
 path: /Keyboard1/numpad7 , name: numpad7 , variants:  , displayName: Numpad 7 shortDisplayName: 
 path: /Keyboard1/numpad8 , name: numpad8 , variants:  , displayName: Numpad 8 shortDisplayName: 
 path: /Keyboard1/numpad9 , name: numpad9 , variants:  , displayName: Numpad 9 shortDisplayName: 
 path: /Keyboard1/numpad0 , name: numpad0 , variants:  , displayName: Numpad 0 shortDisplayName: 
 path: /Keyboard1/f1 , name: f1 , variants:  , displayName: F1 shortDisplayName: 
 path: /Keyboard1/f2 , name: f2 , variants:  , displayName: F2 shortDisplayName: 
 path: /Keyboard1/f3 , name: f3 , variants:  , displayName: F3 shortDisplayName: 
 path: /Keyboard1/f4 , name: f4 , variants:  , displayName: F4 shortDisplayName: 
 path: /Keyboard1/f5 , name: f5 , variants:  , displayName: F5 shortDisplayName: 
 path: /Keyboard1/f6 , name: f6 , variants:  , displayName: F6 shortDisplayName: 
 path: /Keyboard1/f7 , name: f7 , variants:  , displayName: F7 shortDisplayName: 
 path: /Keyboard1/f8 , name: f8 , variants:  , displayName: F8 shortDisplayName: 
 path: /Keyboard1/f9 , name: f9 , variants:  , displayName: F9 shortDisplayName: 
 path: /Keyboard1/f10 , name: f10 , variants:  , displayName: F10 shortDisplayName: 
 path: /Keyboard1/f11 , name: f11 , variants:  , displayName: F11 shortDisplayName: 
 path: /Keyboard1/f12 , name: f12 , variants:  , displayName: F12 shortDisplayName: 
 path: /Keyboard1/OEM1 , name: OEM1 , variants:  , displayName: OEM1 shortDisplayName: 
 path: /Keyboard1/OEM2 , name: OEM2 , variants:  , displayName: OEM2 shortDisplayName: 
 path: /Keyboard1/OEM3 , name: OEM3 , variants:  , displayName: OEM3 shortDisplayName: 
 path: /Keyboard1/OEM4 , name: OEM4 , variants:  , displayName: OEM4 shortDisplayName: 
 path: /Keyboard1/OEM5 , name: OEM5 , variants:  , displayName: OEM5 shortDisplayName: 
 path: /Keyboard1/IMESelected , name: IMESelected , variants:  , displayName: IMESelected shortDisplayName: 
